tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2015-ANE-334-OE,1019302,41.6030833333333,-70.4928611111111,Granted,01/01/1980,22 INDUSTRIAL WAY,MASHPEE,MA,224.7485,44.9497,224.7485,269.6982,NA,Comcast of  Massachusetts I Inc,L00068304,,,2152867454,sheila_smith@cable.comcast.com,One Comcast Center,5630,Philadelphia,PA,191032838,Sheila Smith,Comcast of  Massachusetts I Inc,,,,2152867454,sheila_smith@cable.comcast.com,One Comcast Center,5630,Philadelphia,PA,191032838,Sheila Smith,Modification,Granted,06/09/2015,NA,Constructed,Granted,07/17/2012,NA,Modification,Granted,01/21/2011,NA
Registered,2011-ANE-1775-OE,1216584,41.5817777777778,-70.5391666666667,Constructed,12/14/2011,996 E Falmouth Hwy 091882,East Falmouth,MA,100.0705,32.1538,105.9763,138.1301,Tower,American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,Regulatory Compliance FAA - FCC,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA FCC,Owner Change,Granted,01/15/2013,Assignor American Towers Inc / Rep American Towers LLC / Owner American Towers LLC / ,Constructed,Granted,12/20/2011,NA,Adm Update,Granted,12/15/2011,NA
Registered,2014-ANE-626-OE,1296443,41.5944722222222,-70.5663333333333,Constructed,05/23/2016,off Old Meeting House Road,Falmouth,MA,149.9417,49.8712,149.9417,199.8129,NA,Industrial Tower and Wireless LLC,L01175461,,,7813191111,Kevin.Delaney@Induscom.com,40 Lone Street,,Marshfield,MA,02050    ,Kevin P. Delaney,Industrial Tower and Wireless LLC,,Kevin,Delaney,7813191011,Kevin.Delaney@Induscom.com,40 Lone Street,,Marshfield,MA,02050    ,Kevin P. Delaney,Constructed,Granted,05/24/2016,NA,Amendment,Granted,07/21/2015,NA,NA,NA,NA,NA
Registered,2004-ANE-661-OE,1234487,41.6566944444444,-70.4975,Constructed,05/12/2004,54 Echo Road,Mashpee,MA,150.2698,106.9606,170.2839,277.2445,Tower,Industrial Communications  Electronics Inc,L01175461,,,7813191111,,40 Lone Street,,Marshfield,MA,02050    ,,,,Kevin,Delaney,7813191011,KevinDelaney@IndustrialCommunications.com,,,,,,,Modification,Granted,07/14/2004,NA,Constructed,Granted,07/14/2004,NA,Constructed,Granted,05/12/2004,NA
Registered,2008-ANE-981-OE,1268285,41.6710833333333,-70.5164166666667,Constructed,06/29/2010,23 Falmouth Sandwich Rd,Forestdale,MA,142.0673,136.1615,149.9417,286.1032,Tower,Global Tower LLC through American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,Owner Change,Granted,08/29/2014,Assignor Global Tower LLC / Owner American Towers LLC / Rep American Towers LLC / ,Constructed,Granted,06/29/2010,NA,New Reg,Granted,05/12/2009,NA
Registered,2004-ANE-1195-OE,1059742,41.6037777777778,-70.4887222222222,Constructed,04/30/1998,LOT 38 INDUSTRIAL DR MASHPEE INDUSTRIAL PARK,MASHPEE,MA,250.0122,51.8398,272.9792,324.819,Tower,SBA Properties LLC,L00296049,,,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,SBA Properties LLC,,Edward,Roach,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,Adm Update,Granted,04/25/2013,NA,Modification,Granted,12/15/2004,NA,Constructed,Granted,12/15/2004,NA
Registered,2006-ANE-1512-OE,1261973,41.6153611111111,-70.53875,Constructed,11/21/2008,0 Nathan Ellis Highway,Falmouth,MA,149.9417,55.777,149.9417,205.7187,Tower,Industrial Tower and Wireless LLC,L01175461,,,7813191111,,40 Lone Street,,Marshfield,MA,02050    ,Engineering Dept.,,,Kevin,Delaney,7813191011,Kevin.Delaney@Induscom.com,,,,,,,Constructed,Granted,11/26/2008,NA,New Reg,Granted,02/26/2008,NA,NA,NA,NA,NA
Registered,99-ANE-0706-OE,1209840,41.6520277777778,-70.5205833333333,Granted,,131 Otis Air Force Base,North Falmouth,MA,88.9151,109.9135,104.0077,213.9212,Building w/Pipe,WinStar Wireless Fiber  Corp,L00045531,Tom,Snedeker,2028335678,tsnedeker@winstar.com,1615 L Street NW Suite 1260,,Washington,DC,20036    ,,WinStar Wireless Fiber Corp,,Arne,Jerfsten,8882296134,ajerfsten@winstar.com,1339 Taft Road,,Teaneck,NJ,07666    ,,New Reg,Granted,02/23/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2010-ANE-793-OE,NA,41.65,-70.5358333333333,NA,NA,NA,FALMOUTH,,35.7,6.4,NA,42.1,NA,JBECC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/30/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-WTE-4440-OE,NA,41.6175,-70.5313611111111,NA,NA,NA,BARNSTABLE,,47.5,21.9,NA,69.5,NA,ALTERIS RENEWABLES INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/08/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-964-OE,NA,41.6513888888889,-70.5389444444445,NA,NA,NA,BOURNE,,12.2,33.5,NA,45.7,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-490-NRA,NA,41.6486111111111,-70.5413888888889,NA,NA,NA,FALMOUTH,,61,32.9,NA,93.9,NA,ENDICOTT CONSTRUCTION CORP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/19/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-957-OE,NA,41.6570833333333,-70.5308333333333,NA,NA,NA,BOURNE,,12.2,33.2,NA,45.4,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-343-NRA,NA,41.6541388888889,-70.5084444444444,NA,NA,NA,FALMOUTH,,7.6,36.6,NA,44.2,NA,12 RADAR SQUADRON,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-278-NRA,NA,41.6608333333333,-70.5221388888889,NA,NA,NA,FALMOUTH,,10.4,36.6,NA,46.9,NA,US COAST GUARD,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/22/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-3914-OE,NA,41.6536111111111,-70.5411111111111,NA,NA,NA,SANDWICH,,7.9,36.6,NA,44.5,NA,VOLPE NATIONAL TRANSPORTATION SYSTEMS CENTERUS DOT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/05/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-540-OE,NA,41.6624166666667,-70.5223611111111,NA,NA,NA,FALMOUTH,,31.7,36.9,NA,68.6,NA,FAA - BOSTON TERMINAL CONSTRUCTION CENTER,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,04/25/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-404-NRA,NA,41.66,-70.5352777777778,NA,NA,NA,FALMOUTH,,24.4,41.1,NA,65.5,NA,UNICON INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/22/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-1090-OE,NA,41.6599166666667,-70.5358333333333,NA,NA,NA,FALMOUTH,,15.2,37.2,NA,52.4,NA,AVWATCH INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/02/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2005-ANE-798-OE,NA,41.6570555555556,-70.5056388888889,NA,NA,NA,FALMOUTH,,35.4,35.7,NA,71,NA,RAYTHEON,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/07/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2014-ANE-1904-OE,NA,41.6582777777778,-70.54125,NA,NA,NA,SANDWICH,,32.3,36.6,NA,68.9,NA,VOLPE NATIONAL TRANSPORTATION SYSTEMS CENTERUS DOT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/26/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-438-NRA,NA,41.6649722222222,-70.5194722222222,NA,NA,NA,FALMOUTH,,15.2,39.6,NA,54.9,NA,US COAST GUARD,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/28/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-1272-NRA,NA,41.6652777777778,-70.5216666666667,NA,NA,NA,FALMOUTH,,37.2,37.2,NA,74.4,NA,CUTTER ENTERPRISES,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/17/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-340-NRA,NA,41.6625555555556,-70.5356944444444,NA,NA,NA,FALMOUTH,,49.4,6.1,NA,55.5,NA,F CO 3126TH AVN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-965-OE,NA,41.6456111111111,-70.5505,NA,NA,NA,BOURNE,,12.2,32.3,NA,44.5,NA,CHRISTOPHER ALLEN,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-3913-OE,NA,41.6567777777778,-70.5447777777778,NA,NA,NA,SANDWICH,,10.7,36.6,NA,47.2,NA,VOLPE NATIONAL TRANSPORTATION SYSTEMS CENTERUS DOT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/05/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
