tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,97-ANE-0227-OE,1013714,41.6783333333333,-70.5980555555556,Constructed,01/01/1960,OFF OLD COUNTY RD,BOURNE,MA,239.513,49.215,259.199,308.414,Tower,COLONIAL GAS COMPANY,L00070640,,,5083949851,,127 WHITES PATH,,SOUTH YARMOUTH,MA,02664    ,JOSEPH JASIE,,,,,,,,,,,,,New Reg,Granted,08/20/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registered,2009-ANE-239-OE,1004089,41.7008611111111,-70.5880833333333,Constructed,02/10/2009,50 PORTSIDE DR 010370,Pocasset,MA,221.1394,90.8837,237.8725,328.7562,Tower,American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,Regulatory Compiance FAA FCC,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA FCC,Owner Change,Granted,01/15/2013,Rep American Towers LLC / Owner American Towers LLC / Assignor American Towers Inc / ,Adm Update,Granted,12/15/2011,NA,Adm Update,Granted,08/14/2009,NA
Registered,2014-ANE-670-OE,1292176,41.7418055555556,-70.58275,Constructed,01/01/1998,Macarthur Boulevard ,Bourne,MA,120.0846,123.0375,130.9119,253.9494,NA,IWG Towers Assets I LLC,L01949451,,,7035353009,eschafer@insitewireless.com,1199 North Fairfax Street #700,,Alexandria,VA,22314    ,,IWG Towers Assets I LLC,,Edward,Schafer,7035353009,eschafer@insitewireless.com,1199 North Fairfax Street #700,,Alexandria,VA,22314    ,,Owner Change,Granted,03/24/2016,Rep IWG Towers Assets I LLC / Owner IWG Towers Assets I LLC / ,Owner Change,Granted,03/24/2016,Rep IWG Towers Assets II LLC / Owner IWG Towers Assets II LLC / ,Owner Change,Granted,06/08/2015,Owner InSite Wireless Group / Rep InSite Wireless Group / 
Registered,01-ANE-0704-OE,1230487,41.7440555555556,-70.5877777777778,Granted,12/07/2001,Bourne,Bourne,MA,88.587,69.8853,194.8914,264.7767,Tower,Commonwealth of Massachusetts Department of State Police,L00003516,,,5088202121,,470 Worcester Road,,Framingham,MA,01702    ,,Department of State Police,,Richard,Hanlon,5088202677,,470 Worcester Road,,Framingham,MA,01702    ,,Modification,Granted,01/02/2002,NA,Constructed,Granted,12/10/2001,NA,New Reg,Granted,10/31/2001,NA
Non-Registered,2014-ANE-364-OE,NA,41.6781111111111,-70.5700277777778,NA,NA,NA,BOURNE,,21.3,58.2,NA,79.5,NA,BARNSTABLE COUNTY SHERIFFS OFFICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/12/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2013-ANE-1914-OE,NA,41.6761666666667,-70.5709722222222,NA,NA,NA,BOURNE,,27.4,54,NA,81.4,NA,BARNSTABLE COUNTY SHERIFFS OFFICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/12/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2010-WTE-4899-OE,NA,41.7542222222222,-70.59525,NA,NA,NA,BOURNE,,94.5,9.4,NA,103.9,NA,AERONAUTICA WINDPOWER LLC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/25/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-114-OE,NA,41.7413333333333,-70.6238333333333,NA,NA,NA,BUZZARDS BAY,,73.8,2.4,NA,76.2,NA,MASSACHUSETTS MARITIME ACADEMY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/05/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,97-ANE-0581-OE,NA,41.7614722222222,-70.5758611111111,NA,NA,NA,BUZZARDS BAY,,33.5,36.3,NA,69.8,NA,ATT WIRELESS SERVICES,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,01/08/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2004-ANE-788-OE,NA,41.6654444444444,-70.6046111111111,NA,NA,NA,POCASSET,,58.2,13.4,NA,71.6,NA,AMERICAN TOWER - BOSTON,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/20/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
