tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2014-ANE-670-OE,1292176,41.7418055555556,-70.58275,Constructed,01/01/1998,Macarthur Boulevard ,Bourne,MA,120.0846,123.0375,130.9119,253.9494,NA,IWG Towers Assets I LLC,L01949451,,,7035353009,eschafer@insitewireless.com,1199 North Fairfax Street #700,,Alexandria,VA,22314    ,,IWG Towers Assets I LLC,,Edward,Schafer,7035353009,eschafer@insitewireless.com,1199 North Fairfax Street #700,,Alexandria,VA,22314    ,,Owner Change,Granted,03/24/2016,Rep IWG Towers Assets I LLC / Owner IWG Towers Assets I LLC / ,Owner Change,Granted,03/24/2016,Rep IWG Towers Assets II LLC / Owner IWG Towers Assets II LLC / ,Owner Change,Granted,06/08/2015,Owner InSite Wireless Group / Rep InSite Wireless Group / 
Registered,2009-ANE-239-OE,1004089,41.7008611111111,-70.5880833333333,Constructed,02/10/2009,50 PORTSIDE DR 010370,Pocasset,MA,221.1394,90.8837,237.8725,328.7562,Tower,American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,Regulatory Compiance FAA FCC,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA FCC,Owner Change,Granted,01/15/2013,Rep American Towers LLC / Owner American Towers LLC / Assignor American Towers Inc / ,Adm Update,Granted,12/15/2011,NA,Adm Update,Granted,08/14/2009,NA
Registered,01-ANE-0704-OE,1230487,41.7440555555556,-70.5877777777778,Granted,12/07/2001,Bourne,Bourne,MA,88.587,69.8853,194.8914,264.7767,Tower,Commonwealth of Massachusetts Department of State Police,L00003516,,,5088202121,,470 Worcester Road,,Framingham,MA,01702    ,,Department of State Police,,Richard,Hanlon,5088202677,,470 Worcester Road,,Framingham,MA,01702    ,,Modification,Granted,01/02/2002,NA,Constructed,Granted,12/10/2001,NA,New Reg,Granted,10/31/2001,NA
Non-Registered,2009-ANE-114-OE,NA,41.7413333333333,-70.6238333333333,NA,NA,NA,BUZZARDS BAY,,73.8,2.4,NA,76.2,NA,MASSACHUSETTS MARITIME ACADEMY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/05/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2014-ANE-1946-OE,NA,41.7701666666667,-70.5676388888889,NA,NA,NA,BOURNE,,58.8,50.6,NA,109.4,NA,NSTAR,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/16/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,94-ANE-329-OE,NA,41.7728611111111,-70.56975,NA,NA,NA,SAGAMORE,,106.4,59.4,NA,165.8,NA,INDUSTRIAL COMMUNICATIONS  ELECTRONICS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/08/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,96-ANE-215-OE,NA,41.7739722222222,-70.5703055555556,NA,NA,NA,SAGAMORE,,58.2,62.2,NA,120.4,NA,SPRINT SPECTRUM LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/15/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2009-ANE-651-OE,NA,41.7691111111111,-70.5643611111111,NA,NA,NA,BARNSTABLE,,56.4,0,NA,56.4,NA,NSTAR ELECTRIC AND GAS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/27/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2006-ANE-441-OE,NA,41.7831666666667,-70.6017777777778,NA,NA,NA,BOURNE,,47.9,25.6,NA,73.5,NA,OMNIPOINT COMMUNICATIONS INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/10/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2015-ANE-1092-OE,NA,41.7077222222222,-70.5644166666667,NA,NA,NA,BOURNE,,14.6,87.8,NA,102.4,NA,AVWATCH INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,10/22/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
