tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2008-ANE-981-OE,1268285,41.6710833333333,-70.5164166666667,Constructed,06/29/2010,23 Falmouth Sandwich Rd,Forestdale,MA,142.0673,136.1615,149.9417,286.1032,Tower,Global Tower LLC through American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,Owner Change,Granted,08/29/2014,Assignor Global Tower LLC / Owner American Towers LLC / Rep American Towers LLC / ,Constructed,Granted,06/29/2010,NA,New Reg,Granted,05/12/2009,NA
Registered,99-ANE-0706-OE,1209840,41.6520277777778,-70.5205833333333,Granted,,131 Otis Air Force Base,North Falmouth,MA,88.9151,109.9135,104.0077,213.9212,Building w/Pipe,WinStar Wireless Fiber  Corp,L00045531,Tom,Snedeker,2028335678,tsnedeker@winstar.com,1615 L Street NW Suite 1260,,Washington,DC,20036    ,,WinStar Wireless Fiber Corp,,Arne,Jerfsten,8882296134,ajerfsten@winstar.com,1339 Taft Road,,Teaneck,NJ,07666    ,,New Reg,Granted,02/23/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registered,2004-ANE-661-OE,1234487,41.6566944444444,-70.4975,Constructed,05/12/2004,54 Echo Road,Mashpee,MA,150.2698,106.9606,170.2839,277.2445,Tower,Industrial Communications  Electronics Inc,L01175461,,,7813191111,,40 Lone Street,,Marshfield,MA,02050    ,,,,Kevin,Delaney,7813191011,KevinDelaney@IndustrialCommunications.com,,,,,,,Modification,Granted,07/14/2004,NA,Constructed,Granted,07/14/2004,NA,Constructed,Granted,05/12/2004,NA
Non-Registered,2017-ANE-2153-OE,NA,41.6992777777778,-70.4843888888889,NA,NA,NA,SANDWICH,,61,45.7,NA,106.7,NA,POLICE DEPARTMENT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/27/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,92-ANE-338-OE,NA,41.6439722222222,-70.4619444444444,NA,NA,NA,MASHPEE,,58.8,18,NA,76.8,NA,NYNEX MOBILE COMMUNICATIONS COMPANY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/10/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2002-ANE-279-OE,NA,41.6559722222222,-70.5009722222222,NA,NA,NA,MASHPEE,,46.9,35.1,NA,82,NA,SEACOAST LP,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/27/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,94-ANE-009-OE,NA,41.6303611111111,-70.4613888888889,NA,NA,NA,MASHPEE,,35.1,16.4,NA,51.5,NA,NYNEX MOBILE COMMUNICATIONS CO,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/24/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2005-ANE-798-OE,NA,41.6570555555556,-70.5056388888889,NA,NA,NA,FALMOUTH,,35.4,35.7,NA,71,NA,RAYTHEON,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/07/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-ANE-123-NRA,NA,41.6706944444444,-70.5076388888889,NA,NA,NA,FALMOUTH,,45.7,48.8,NA,94.5,NA,VANGUARD CONST CO INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/05/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-ANE-3110-OE,NA,41.6949444444444,-70.4993611111111,NA,NA,NA,NEW BEDFORD,,41.1,46,NA,87.2,NA,ECO-SITE INC IT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,08/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
