tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2004-ANE-661-OE,1234487,41.6566944444444,-70.4975,Constructed,05/12/2004,54 Echo Road,Mashpee,MA,150.2698,106.9606,170.2839,277.2445,Tower,Industrial Communications  Electronics Inc,L01175461,,,7813191111,,40 Lone Street,,Marshfield,MA,02050    ,,,,Kevin,Delaney,7813191011,KevinDelaney@IndustrialCommunications.com,,,,,,,Modification,Granted,07/14/2004,NA,Constructed,Granted,07/14/2004,NA,Constructed,Granted,05/12/2004,NA
Registered,2008-ANE-981-OE,1268285,41.6710833333333,-70.5164166666667,Constructed,06/29/2010,23 Falmouth Sandwich Rd,Forestdale,MA,142.0673,136.1615,149.9417,286.1032,Tower,Global Tower LLC through American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,Owner Change,Granted,08/29/2014,Assignor Global Tower LLC / Owner American Towers LLC / Rep American Towers LLC / ,Constructed,Granted,06/29/2010,NA,New Reg,Granted,05/12/2009,NA
Registered,97-ANE-0051-OE,1018712,41.7697222222222,-70.5091666666667,Constructed,05/01/1997,FREEZER RD,SANDWICH,MA,498.0558,12.1397,498.0558,510.1955,NA,Mirant Canal LLC,L00387926,,,5082910950,,FREEZER RD,,SANDWICH,MA,02563    ,Richard K. Dole,,,,,,,,,,,,,Constructed,Granted,02/05/2003,NA,Modification,Granted,01/16/2002,NA,New Reg,Granted,04/16/1997,NA
Registered,00-ANE-0135-OE,1216652,41.73225,-70.4586666666667,Constructed,04/12/2001,SANDWICH CONCRETE 290 QUAKER MEETINGHOUSE RD HYN113B,SANDWICH,MA,55.1208,186.0327,55.1208,241.1535,Tower,ATT Mobility Spectrum LLC,L01145911,,,8556997073,FCCMW@att.com,208 S Akard St RM 1016,,Dallas,TX,75202    ,FCC Group,ATT Mobility LLC,,Leslie,Wilson,8556997073,FCCMW@att.com,208 S Akard St RM 1016,,Dallas,TX,75202    ,FCC Group,Adm Update,Granted,06/22/2017,NA,Adm Update,Granted,06/09/2017,NA,Adm Update,NA,07/26/2016,NA
Non-Registered,01-ANE-0743-OE,NA,41.7310833333333,-70.4865,NA,NA,NA,SANDWICH,,52.4,73.5,NA,125.9,NA,VICTORY SAND  GRAVEL COMPANY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/05/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,85-ANE-381-OE,NA,41.7131388888889,-70.5047222222222,NA,NA,NA,SANDWICH,,71,54.9,NA,125.9,NA,COMMANDER FIRST COAST GUARD DISTRICT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,04/10/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2017-ANE-2153-OE,NA,41.6992777777778,-70.4843888888889,NA,NA,NA,SANDWICH,,61,45.7,NA,106.7,NA,POLICE DEPARTMENT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/27/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,85-ANE-380-OE,NA,41.7134166666667,-70.5053055555556,NA,NA,NA,SANDWICH,,71,54.9,NA,125.9,NA,COMMANDER FIRST COAST GUARD DISTRICT,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,04/20/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2006-ANE-105-OE,NA,41.7175555555556,-70.5065555555556,NA,NA,NA,BUZZARDS BAY,,25,55.5,NA,80.5,NA,US COAST GUARD MLCLANT TP-2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/13/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,00285-ANE-344-OE,NA,41.6964722222222,-70.4841666666667,NA,NA,NA,SANDWICH,,91.4,51.9,NA,143.3,NA,BLANK,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/31/1986,NA,NA,NA,NA,NA,NA,NA,NA,NA
